First process instance # in stats,21
Last process instance # in stats,80

Resource utilization
Resource,Utilization %
Геймдизайнер,qbp_fa249283-4b20-a18a-9129-c31f9e814083,0
Система,QBP_DEFAULT_RESOURCE,0
Аниматор и художник,qbp_c2d60a2f-7446-7a3c-50a6-7512810ace74,8
Писатели,qbp_e64dd2c2-9cf2-b787-0bcb-acc6b896fd9c,44
Звукорежиссёр,qbp_6a7b2f04-8a51-b1ec-abb5-618443812c86,9
Разработчик ПО и программист,qbp_3774e1d5-178a-ef17-ada2-a7f1714a7ade,16
Тестировщики видеоигр,qbp_7fef4283-02ce-fb48-c94b-5eca163e26ba,2

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
GATEWAY 16 XOR,Process_1.Gateway_0nyhb86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
GATEWAY 17 AND,Process_1.Gateway_0ejle4v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
GATEWAY 18 AND,Process_1.Gateway_108r7ri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
GATEWAY 24 XOR,Process_1.Gateway_1p68e50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
GATEWAY 25 XOR,Process_1.Gateway_099bbav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
GATEWAY 6 AND,Process_1.Gateway_02761m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
GATEWAY 7 AND,Process_1.Gateway_0jd7zef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
GATEWAY 9 XOR,Process_1.Gateway_10e1lae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Главный персонаж спасает своих близких,Process_1.Activity_0r9ifg9,1.0,1.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Главный персонаж убивает своих родных,Process_1.Activity_01vt7rx,1.0,1.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
